question_id,prompt,generated_answer,is_correct,is_unparsable
Question_62,Noble metals like silver and gold can be loaded onto titanium dioxide nanorods to enhance their properties. Which noble metals are mentioned as being loaded onto TiO2 nanorods to display efficient catalytic properties and antibacterial activities?,Unparsable,False,True
Question_63,"The interaction between nanoparticles and biological cells can lead to the formation of reactive oxygen species (ROS), which can cause oxidative stress and damage to the cells. What is a potential consequence of nanoparticles interacting with biological cells?",Unparsable,False,True
Question_64,"The toxicity of nanoparticles can be influenced by their concentration, size, and the dose administered to biological cells. Which factors can influence the toxicity of nanoparticles to biological cells?",Unparsable,False,True
Question_65,"Intracellular reactive oxygen species (ROS) can be generated as a result of interactions between nanoparticles and biological cells, leading to potential toxicity. What can be significantly increased when spermatozoa are incubated with nanoparticles, leading to potential toxicity?",Unparsable,False,True
Question_66,"The presence of noble metal nanoparticles on the surface of TiO2 can disrupt electron transfer in bacterial membranes, leading to cell death. What effect can noble metal nanoparticles on the surface of TiO2 have on bacterial membranes?",Unparsable,False,True
Question_67,The Schottky barrier formation due to the interaction between noble metal nanoparticles and microbial membranes can lead to electron transfer. What is a result of the interaction between noble metal nanoparticles and microbial membranes?,Unparsable,False,True
Question_68,"The synthesis of TiO2 nanorods involves a molten salt flux method using a mixture of TiO2 nanopowder, NaCl, and Na2HPO4. What materials are used in the molten salt flux method for synthesizing TiO2 nanorods?",Unparsable,False,True
Question_69,The degradation of organic dyes can be catalyzed by noble metal-loaded TiO2 nanorods in the presence of an electron donor such as NADPH. What can catalyze the degradation of organic dyes in the presence of an electron donor?,Unparsable,False,True
Question_70,The presence of noble metal nanoparticles on TiO2 nanorods can lead to the generation of reactive oxygen species (ROS) through electron transfer mechanisms. What role do noble metal nanoparticles on TiO2 nanorods play in the generation of reactive oxygen species (ROS)?,Unparsable,False,True
Question_71,Lignocellulose can be pretreated using various methods to yield products suitable for bioenergy production. Which pretreatment method of lignocellulose can yield clean energy via microbial fermentation?,Unparsable,False,True
Question_72,Bio-oil derived from lignocellulosic biomass contains compounds that can inhibit microbial growth. Which of the following compounds present in bio-oil can inhibit the growth and metabolism of microorganisms?,Unparsable,False,True
Question_73,Microbial electrolysis cell (MEC) technology combines biological fermentation and electrochemical technologies. What is the primary application of microbial electrolysis cell technology?,Unparsable,False,True
Question_74,"In bio-oil media, certain compounds can act as inhibitors to the fermentation process. Which compound is not typically considered an inhibitor in bio-oil media for microbial fermentation?",Unparsable,False,True
Question_75,Microorganisms can be evolved to enhance their resistance to inhibitory environments. What is the purpose of subjecting E. coli to adaptive evolution in the context of bio-oil fermentation?,Unparsable,False,True
Question_76,"Bio-oil contains a variety of compounds, some of which can be potential inhibitors in microbial fermentation processes. Which of the following is a primary component of bio-oil used for ethanol production?",Unparsable,False,True
Question_77,Microbial fermentation can be used to convert biomass into biofuels such as bioethanol. What is the theoretical yield of ethanol from levoglucosan in the context of microbial fermentation?,Unparsable,False,True
Question_78,The microbial electrolysis cell system can be used for bio-oil detoxification and ethanol production. What role does the microbial electrolysis cell system play in ethanol production from bio-oil?,Unparsable,False,True
Question_79,"During microbial fermentation, the presence of certain compounds can inhibit the production of desired products. Which of the following compounds is known to inhibit microbial growth and metabolism, thereby reducing the yield of bioethanol fermentation?",Unparsable,False,True
Question_80,The efficiency of microbial electrolysis cells can be assessed by measuring certain parameters. What does the Coulomb efficiency in a microbial electrolysis cell indicate?,Unparsable,False,True
Question_81,"In ball end milling of metals, the surface roughness is an important quality parameter that can be affected by various cutting parameters. Which cutting parameter has the highest contribution to surface roughness in ball end milling of OFHC copper?",Unparsable,False,True
Question_82,"The response surface methodology (RSM) is a statistical technique used for developing, improving, and optimizing processes in which a response of interest is influenced by several variables. What is the primary purpose of using response surface methodology (RSM) in the context of machining processes?",Unparsable,False,True
Question_83,Analysis of variance (ANOVA) is a statistical method used to test differences between two or more means. What is the role of analysis of variance (ANOVA) in the study of machining processes?,Unparsable,False,True
Question_84,"Surface roughness in machining can be quantified by different parameters, which are indicative of the quality of the machined surface. Which parameters were considered as responses for generating a statistical predictive model in terms of machining parameters?",Unparsable,False,True
Question_85,"In the context of machining, the cutting feed rate is one of the parameters that can influence the outcome of the process. What is the effect of increasing the cutting feed rate on the surface roughness in end milling?",Unparsable,False,True
Question_86,The central composite design (CCD) is a type of experimental design that is useful in response surface methodology. What is the purpose of using a central composite design in the study of machining processes?,Unparsable,False,True
Question_87,The cutting speed is a machining parameter that can significantly affect the surface finish of a machined part. What is the effect of increasing the cutting speed on the surface roughness in end milling?,Unparsable,False,True
Question_88,"The radial depth of cut, also known as step over, is a machining parameter that can influence the surface roughness of a milled part. What is the recommended setting for the radial depth of cut to achieve a good surface finish in end milling of OFHC copper?",Unparsable,False,True
Question_89,The axial depth of cut is a parameter in end milling that determines the thickness of the material layer removed in each pass. What is the contribution of axial depth of cut to the surface roughness in ball end milling of OFHC copper?,Unparsable,False,True
Question_90,"The surface roughness of machined parts can be measured using various parameters, which are indicative of the quality of the surface. Which surface roughness parameter is considered as the average roughness in the context of machining?",Unparsable,False,True
Question_91,Electrospinning is a technique used to create fibers of different sizes and morphologies from a polymer solution. What is the typical outcome of electrospinning a polymer solution?,Unparsable,False,True
Question_92,"Poly(3-hydroxybutarate-co-3-hydroxyvalerate), or PHBV, is a biopolymer that can be electrospun into fibers. What is an intrinsic property of PHBV when electrospun into fibers?",Unparsable,False,True
Question_93,The incorporation of silica nanoparticles into a polymer matrix can alter the surface properties of the resulting fibers. What effect does the incorporation of silica nanoparticles have on the surface of electrospun PHBV fibers?,Unparsable,False,True
Question_94,Stearic acid can be used to modify the surface of fibers to alter their interaction with water. What is the effect of treating PHBV/SiO2 fibrous mats with stearic acid at an elevated temperature?,Unparsable,False,True
Question_95,Scanning electron microscopy (SEM) is a technique used to analyze the surface morphology of materials. What information can be obtained about electrospun fibers using scanning electron microscopy (SEM)?,Unparsable,False,True
Question_96,Energy dispersive X-ray spectroscopy (EDX) is an analytical technique used in conjunction with SEM. What does energy dispersive X-ray spectroscopy (EDX) confirm in the context of electrospun fibers?,Unparsable,False,True
Question_97,Fourier transform infrared spectroscopy (FTIR) is a technique used to identify chemical bonds in a material by producing an infrared absorption spectrum. What can Fourier transform infrared spectroscopy (FTIR) reveal about electrospun fibers?,Unparsable,False,True
Question_98,Differential scanning calorimetry (DSC) is a thermoanalytical technique that measures the heat flow associated with material transitions as a function of temperature. What does differential scanning calorimetry (DSC) measure in the context of PHBV fibers?,Unparsable,False,True
Question_99,The degree of crystallinity in polymers can be influenced by the addition of fillers and plasticizers. How does the incorporation of nanoparticles and plasticization affect the thermal properties of PHBV?,Unparsable,False,True
Question_100,"Contact angle measurements can indicate the wetting behavior of a surface, with certain angles suggesting hydrophobic or superhydrophobic properties. What static water contact angle (WCA) and roll-off angle are indicative of superhydrophobic surfaces?",Unparsable,False,True
Question_101,"In radiopharmaceuticals, radionuclidic purity is important to ensure the safety and efficacy of the pharmaceutical. What is the minimum radionuclidic purity of [177Lu]lutetium for radiolabeling according to the European Pharmacopoeia?",Unparsable,False,True
Question_102,The presence of radionuclidic impurities in radiopharmaceuticals is strictly regulated. What is the allowed concentration of [177mLu]lutetium impurity in [177Lu]lutetium as per the European Pharmacopoeia?,A,False,False
Question_103,Sterility is a critical quality attribute for intravenous radiopharmaceuticals to prevent infections. What is the exemption limit for [177mLu]lutetium for the unrestricted release of solid and liquid substances?,Unparsable,False,True
Question_104,"The decay of radionuclides is characterized by their half-life, which is the time required for half of the radionuclide to decay. What is the physical half-life of [177Lu]lutetium?",Unparsable,False,True
Question_105,"Radionuclides can decay through different pathways, emitting particles and radiation of specific energies. What is the main gamma emission energy when [177mLu]lutetium decays to [177Lu]lutetium?",Unparsable,False,True
Question_106,"The production of radionuclides can follow different pathways, which may affect the purity and impurity profile of the final product. What is the target material used in the non-carrier added (n.c.a) pathway for the production of [177Lu]lutetium?",Unparsable,False,True
Question_107,The presence of long-lived radionuclidic impurities in radiopharmaceuticals can pose challenges for waste management. What is the physical half-life of the metastable impurity [177mLu]lutetium?,Unparsable,False,True
Question_108,"The radionuclide [177Lu]lutetium is used in radiopharmaceuticals and can be produced through different methods, which may lead to the presence of impurities. Which radionuclide is the first approved drug that contains [177Lu]lutetium?",Unparsable,False,True
Question_109,The concentration of radionuclidic impurities in radiopharmaceuticals is critical for ensuring compliance with regulatory standards. What was the average concentration of [177mLu]lutetium found in Lutathera® according to the data?,Unparsable,False,True
Question_110,"In the context of radiopharmaceuticals, the radionuclidic impurity levels are crucial for determining the safety and regulatory compliance of the product. What is the radionuclidic impurity level of [177mLu]lutetium in EndolucinBeta® samples?",Unparsable,False,True
Question_111,"Tobacco mosaic virus (TMV) is a plant pathogen that affects the quality and yield of crops. Certain compounds can exhibit antiviral activities against TMV, which can be measured by their inactivation, protective, and curative effects. What class of natural compounds has been identified to have potential anti-TMV activities?",Unparsable,False,True
Question_112,"In the search for bioactive compounds, endophytic fungi like Aspergillus versicolor have been explored for their ability to produce secondary metabolites with various biological activities. Which of the following secondary metabolites is NOT mentioned as being produced by Aspergillus species?",A,False,False
Question_113,"Isocoumarins are a type of secondary metabolite that can be isolated from various sources, including fungi. They can possess a range of biological activities. Which structural feature is characteristic of isocoumarins?",Unparsable,False,True
Question_114,"Indole alkaloids are a class of compounds that contain an indole ring, which is a bicyclic structure composed of a benzene ring fused to a pyrrole ring. They are known for their diverse pharmacological properties. What is the basic structure of indole alkaloids?",Unparsable,False,True
Question_115,"The efficacy of compounds against TMV can be evaluated by their ability to inactivate the virus, protect plants from the virus, and cure infected plants. What is the measure of a compound's ability to directly destroy viral particles?",Unparsable,False,True
Question_116,Molecular docking is a computational technique used to predict the preferred orientation of one molecule to a second when bound to each other to form a stable complex. What was the purpose of molecular docking in the context of TMV research?,Unparsable,False,True
Question_117,"Transmission electron microscopy (TEM) is a technique that allows for the visualization of small particles, such as viruses, at high resolution. What was the role of TEM in the study of TMV?",Unparsable,False,True
Question_118,"The chemical structure of compounds can be elucidated using various spectroscopic techniques, including nuclear magnetic resonance (NMR). Which spectroscopic technique is used to determine the structure of organic compounds by observing the interaction of nuclear spins with an external magnetic field?",Unparsable,False,True
Question_119,The presence of specific functional groups in a molecule can be inferred from their characteristic absorption bands in the infrared (IR) spectrum. Which IR absorption band is indicative of hydroxyl (OH) groups?,Unparsable,False,True
Question_120,"The efficacy of antiviral compounds can be assessed by their ability to reduce the levels of viral proteins in infected plants, which can be measured using western blot analysis. In the context of TMV infection, what does a decrease in the band intensity of TMV-CP in a western blot analysis indicate?",Unparsable,False,True
Question_121,Positron emission tomography (PET) is a molecular imaging technique that allows for the tracking of radiolabelled cells within the body. What is the half-life of the PET radioisotope zirconium-89 (89Zr)?,Unparsable,False,True
Question_122,"In cell labelling for imaging, the stability of the radiolabel is crucial for accurate tracking. A stable radiolabel remains attached to the cells, allowing for precise imaging over time. Which organ did intravenously injected free [89Zr]Zr4+ ion show retention in at 5 days post injection?",Unparsable,False,True
Question_123,"Radiolabelling of cells with isotopes like indium-111 and technetium-99m has been used for imaging, but these methods have limitations such as radiation toxicity to cells and efflux of the radiolabel. What is the main disadvantage of labelling leukocytes with [111In] oxine and [99mTc]Tc-HMPAO?",Unparsable,False,True
Question_124,"The use of bifunctional chelating agents allows for the attachment of radioisotopes to cells for imaging purposes. One such agent is p-isothiocyanatobenzyl-desferrioxamine B (Df-Bz-NCS), which facilitates the chelation of zirconium-89. What type of bond does the isothiocyanate group of Df-Bz-NCS form with cell surface groups?",B,False,False
Question_125,"For PET imaging, the radiolabelled cells must be stable to ensure that the radiotracer does not dissociate from the cells after administration. What is the role of desferrioxamine in the chelation of zirconium-89?",Unparsable,False,True
Question_126,"In the context of cell labelling for imaging, the molar activity is an important parameter that reflects the amount of radioactivity per mole of a substance. What was the average apparent molar activity of the [89Zr]Zr-Df-Bz-NCS complex used for leukocyte labelling?",Unparsable,False,True
Question_127,The efficiency of cell labelling is critical for ensuring that a sufficient amount of radiotracer is associated with the cells for imaging. What range of labelling efficiency was achieved for 89Zr-leukocyte labelling?,Unparsable,False,True
Question_128,"In radiolabelling techniques, the labelling yield is a measure of the proportion of the initial radioactivity that is incorporated into the final cell suspension. What was the average labelling yield for the 89Zr-labelled leukocytes?",Unparsable,False,True
Question_129,The concentration of radioactivity in labelled cells is a parameter that can influence the quality of imaging and the detection of the labelled cells in vivo. What was the determined radioactivity concentration of labelled cells before intravenous injection into mice?,Unparsable,False,True
Question_130,The biodistribution of radiolabelled cells post-injection can provide insights into the trafficking and localization of cells within an organism. Which organs did the 89Zr-labelled leukocytes primarily distribute to at 1 hour post injection in the murine model?,Unparsable,False,True
Question_131,"In cell biology, understanding the relationship between genotype and phenotype is crucial. Genomic structures are typically uniform across cells within an organism, but the expression patterns of these genomes dictate the physiological traits of the cells. What dictates the physiological traits of cells within an organism?",Unparsable,False,True
Question_132,"Single-cell RNA sequencing (scRNA-seq) is a technology that allows for the analysis of transcriptomic information at a high resolution, which is essential for understanding the relationship between genotype and phenotype. What technology allows for high-resolution analysis of transcriptomic information to understand the relationship between genotype and phenotype?",Unparsable,False,True
Question_133,Dimensionality reduction (DR) techniques are used in single-cell RNA sequencing data analysis to simplify the data into lower-dimensional representations that are easier to interpret and analyze. What is the purpose of using dimensionality reduction techniques in single-cell RNA sequencing data analysis?,Unparsable,False,True
Question_134,"Principal Component Analysis (PCA) is a linear dimensionality reduction technique that identifies linear feature combinations with the highest variance, but it may not capture the complexity of diverse cell types in single-cell RNA sequencing analysis. Why might Principal Component Analysis (PCA) be inadequate for single-cell RNA sequencing analysis?",Unparsable,False,True
Question_135,Nonlinear dimensionality reduction techniques are favored over linear ones for single-cell RNA sequencing data visualization because they can capture both local and global patterns in the data. Why are nonlinear dimensionality reduction techniques preferred over linear ones for scRNA-seq data visualization?,Unparsable,False,True
Question_136,"Uniform Manifold Approximation and Projection (UMAP) and t-distributed stochastic neighbor embedding (t-SNE) are nonlinear dimensionality reduction algorithms used for visualizing single-cell RNA sequencing data, but they have limitations in maintaining global structures. What is a limitation of UMAP and t-SNE when used for visualizing single-cell RNA sequencing data?",Unparsable,False,True
Question_137,Pairwise Controlled Manifold Approximation Projection (PaCMAP) is a nonlinear dimensionality reduction algorithm that uses a unique loss function and graph components to preserve local and global structures in single-cell RNA sequencing data. What distinguishes Pairwise Controlled Manifold Approximation Projection (PaCMAP) in handling single-cell RNA sequencing data?,Unparsable,False,True
Question_138,Compactness Preservation Pairwise Controlled Manifold Approximation Projection (CP-PaCMAP) is an advancement in single-cell RNA sequencing data visualization that aims to preserve the compactness property of high-dimensional data points in a low-dimensional space. What is the primary advancement of Compactness Preservation Pairwise Controlled Manifold Approximation Projection (CP-PaCMAP) in scRNA-seq data visualization?,A,True,False
Question_139,"In the context of single-cell RNA sequencing, the term 'compactness' refers to the property of a data point's neighborhood being tightly clustered, with the local radius serving as a measure of this compactness. In scRNA-seq data analysis, what does the term 'compactness' refer to?",Unparsable,False,True
Question_140,"The Mantel test is a statistical test used to assess the correlation between distance matrices, which can be applied to evaluate the preservation of pairwise relationships between cells in high-dimensional and low-dimensional spaces after dimensionality reduction. What is the purpose of the Mantel test in the context of dimensionality reduction for scRNA-seq data?",A,False,False
Question_141,"In the context of gearboxes, certain applications require the use of solid lubricants instead of traditional fluid lubricants. Solid lubricants with a lamellar sliding mechanism, such as graphite and molybdenum disulfide, are known for enabling low coefficients of friction. Which solid lubricant is known for enabling very low coefficients of friction due to its lamellar sliding mechanism?",Unparsable,False,True
Question_142,"In the field of tribology, the term 'superlubricity' is used to describe a state of extremely low friction, with coefficients of friction below a certain threshold. What is the threshold coefficient of friction below which the regime of superlubricity is attributed?",A,False,False
Question_143,"The tribological performance of solid lubricants can be significantly affected by environmental conditions, such as humidity, which can impact their friction and wear characteristics. How does significant relative humidity under ambient air conditions affect the friction and wear of molybdenum disulfide (MoS2)?",Unparsable,False,True
Question_144,"In the study of tribology, the addition of certain metallic elements to solid lubricants can enhance their wear resistance without significantly altering their frictional behavior. Which metallic elements can be added to solid lubricants like MoS2 to increase wear resistance?",Unparsable,False,True
