Question,Answer,Title,DOI,Authors
What is the significance of the fatty acid profile in animal feedstocks?,C,Effect of Alkaline Hydrogen Peroxide Pretreatment on In Vitro Rumen Digestibility of Exhausted Olive Pomace,https://doi.org/10.1186/s40538-024-00533-9,['Masmoudi et al.']
What role are functional composite materials expected to play in addressing societal challenges?,B,Introducing Functional Composite Materials,https://doi.org/10.1186/s42252-020-00007-9,['Tony McNally']
Which of the following is NOT an example of the functionalities that can be integrated into composite materials?,D,Introducing Functional Composite Materials,https://doi.org/10.1186/s42252-020-00007-9,['Tony McNally']
What does the ongoing discovery of new materials imply for the future of composite materials?,C,Introducing Functional Composite Materials,https://doi.org/10.1186/s42252-020-00007-9,['Tony McNally']
For which of the following applications can functional composite materials be specifically designed?,A,Introducing Functional Composite Materials,https://doi.org/10.1186/s42252-020-00007-9,['Tony McNally']
Which property of composite materials can be engineered to change in response to an external stimulus?,C,Introducing Functional Composite Materials,https://doi.org/10.1186/s42252-020-00007-9,['Tony McNally']
Which fields of science are involved in the research and development of functional composite materials?,D,Introducing Functional Composite Materials,https://doi.org/10.1186/s42252-020-00007-9,['Tony McNally']
What thermal property can be engineered into composite materials for specific applications?,A,Introducing Functional Composite Materials,https://doi.org/10.1186/s42252-020-00007-9,['Tony McNally']
Which optical property can be integrated into composite materials?,D,Introducing Functional Composite Materials,https://doi.org/10.1186/s42252-020-00007-9,['Tony McNally']
What electrical property can be engineered into composite materials?,D,Introducing Functional Composite Materials,https://doi.org/10.1186/s42252-020-00007-9,['Tony McNally']
What is the primary requirement for a composite material to be considered functional?,B,Introducing Functional Composite Materials,https://doi.org/10.1186/s42252-020-00007-9,['Tony McNally']
What is the primary role of polymer stabilizers in zinc oxide (ZnO) nanofluids used for enhanced oil recovery?,B,Effect of Polymers on Zinc Oxide Nanofluids for Enhanced Oil Recovery,https://doi.org/example,"['Usama Nour Eldemerdash', 'et al.']"
Which stabilizing agent was found to record the highest oil recovery when used with ZnO nanofluids?,B,Effect of Polymers on Zinc Oxide Nanofluids for Enhanced Oil Recovery,https://doi.org/example,"['Usama Nour Eldemerdash', 'et al.']"
What is the advantage of ZnO nanoparticles having a large surface area in the context of enhanced oil recovery?,C,Effect of Polymers on Zinc Oxide Nanofluids for Enhanced Oil Recovery,https://doi.org/example,"['Usama Nour Eldemerdash', 'et al.']"
What is the effect of nanoparticles rearranging at the formation surface in enhanced oil recovery?,C,Effect of Polymers on Zinc Oxide Nanofluids for Enhanced Oil Recovery,https://doi.org/example,"['Usama Nour Eldemerdash', 'et al.']"
How do nanofluids containing polymeric stabilizing agents compare to ZnO nanofluids without stabilizing agents in terms of interfacial tension reduction?,B,Effect of Polymers on Zinc Oxide Nanofluids for Enhanced Oil Recovery,https://doi.org/example,"['Usama Nour Eldemerdash', 'et al.']"
What is the purpose of adding sodium hydroxide during the synthesis of zinc oxide nanoparticles using the sol–gel method?,D,Effect of Polymers on Zinc Oxide Nanofluids for Enhanced Oil Recovery,https://doi.org/example,"['Usama Nour Eldemerdash', 'et al.']"
What is the average particle size of the synthesized ZnO nanoparticles used in the preparation of nanofluids for enhanced oil recovery?,B,Effect of Polymers on Zinc Oxide Nanofluids for Enhanced Oil Recovery,https://doi.org/example,"['Usama Nour Eldemerdash', 'et al.']"
What does a redshift in the UV–vis absorbance curve of ZnO nanofluids indicate?,B,Effect of Polymers on Zinc Oxide Nanofluids for Enhanced Oil Recovery,https://doi.org/example,"['Usama Nour Eldemerdash', 'et al.']"
What does a zeta potential value of -43.7 mV indicate about the stability of ZnO nanofluids?,C,Effect of Polymers on Zinc Oxide Nanofluids for Enhanced Oil Recovery,https://doi.org/example,"['Usama Nour Eldemerdash', 'et al.']"
What was the observed effect of adding PVA and PVP stabilizers to ZnO nanofluids on the contact angle on a PDMS surface?,C,Effect of Polymers on Zinc Oxide Nanofluids for Enhanced Oil Recovery,https://doi.org/example,"['Usama Nour Eldemerdash', 'et al.']"
What is the multiplicative decomposition of the deformation gradient in crystal plasticity?,C,Diffuse-interface crystal plasticity model for polycrystalline materials,https://doi.org/10.1186/example,['Admal et al.']
What is the initial condition of the deformation gradient in a stress-free single crystal?,B,Diffuse-interface crystal plasticity model for polycrystalline materials,https://doi.org/10.1186/example,['Admal et al.']
What represents the deformation gradient of an infinitesimal material element attributed to dislocation slip?,B,Diffuse-interface crystal plasticity model for polycrystalline materials,https://doi.org/10.1186/example,['Admal et al.']
What defines a slip system in crystal plasticity?,A,Diffuse-interface crystal plasticity model for polycrystalline materials,https://doi.org/10.1186/example,['Admal et al.']
What is the flow rule that governs the evolution of FP?,D,Diffuse-interface crystal plasticity model for polycrystalline materials,https://doi.org/10.1186/example,['Admal et al.']
Which equation represents the macroscopic force balance in crystal plasticity?,A,Diffuse-interface crystal plasticity model for polycrystalline materials,https://doi.org/10.1186/example,['Admal et al.']
What is the microscopic force balance equation for each slip system?,A,Diffuse-interface crystal plasticity model for polycrystalline materials,https://doi.org/10.1186/example,['Admal et al.']
How is the lattice Lagrangian strain EL defined in terms of the lattice component FL?,B,Diffuse-interface crystal plasticity model for polycrystalline materials,https://doi.org/10.1186/example,['Admal et al.']
How is the geometrically necessary dislocation density tensor G defined?,A,Diffuse-interface crystal plasticity model for polycrystalline materials,https://doi.org/10.1186/example,['Admal et al.']
What is the initial state of FL and FP in the diffuse-interface model for a polycrystal?,B,Diffuse-interface crystal plasticity model for polycrystalline materials,https://doi.org/10.1186/example,['Admal et al.']
What is the purpose of multi control quantum gates in a quantum classification circuit?,B,Quantum Algorithm for Data Classification Based on Nearest-Neighbor Learning,https://doi.org/10.1186/s41313-021-00029-1,"['Li', 'Kais']"
What is the role of 'sublabels' in quantum machine learning for data classification?,B,Quantum Algorithm for Data Classification Based on Nearest-Neighbor Learning,https://doi.org/10.1186/s41313-021-00029-1,"['Li', 'Kais']"
Why is the inner product used in quantum classification algorithms instead of Euclidean distance?,C,Quantum Algorithm for Data Classification Based on Nearest-Neighbor Learning,https://doi.org/10.1186/s41313-021-00029-1,"['Li', 'Kais']"
How are two-dimensional data points mapped to the state of a qubit in a quantum classification algorithm?,B,Quantum Algorithm for Data Classification Based on Nearest-Neighbor Learning,https://doi.org/10.1186/s41313-021-00029-1,"['Li', 'Kais']"
"In the context of materials science, what is an application of quantum classification algorithms?",C,Quantum Algorithm for Data Classification Based on Nearest-Neighbor Learning,https://doi.org/10.1186/s41313-021-00029-1,"['Li', 'Kais']"
What does the label 'yi' represent in a quantum machine learning training data set?,C,Quantum Algorithm for Data Classification Based on Nearest-Neighbor Learning,https://doi.org/10.1186/s41313-021-00029-1,"['Li', 'Kais']"
What is the purpose of Lloyd's algorithm in the context of quantum machine learning?,C,Quantum Algorithm for Data Classification Based on Nearest-Neighbor Learning,https://doi.org/10.1186/s41313-021-00029-1,"['Li', 'Kais']"
What is the goal of applying adjusting algorithms to 'sublabels' in quantum machine learning?,C,Quantum Algorithm for Data Classification Based on Nearest-Neighbor Learning,https://doi.org/10.1186/s41313-021-00029-1,"['Li', 'Kais']"
What is the purpose of applying Hadamard gates to label qubits in a quantum classification circuit?,B,Quantum Algorithm for Data Classification Based on Nearest-Neighbor Learning,https://doi.org/10.1186/s41313-021-00029-1,"['Li', 'Kais']"
"In quantum machine learning, how is the label for a new test vector determined?",A,Quantum Algorithm for Data Classification Based on Nearest-Neighbor Learning,https://doi.org/10.1186/s41313-021-00029-1,"['Li', 'Kais']"
What is a known application of titanium dioxide nanoparticles?,B,Toxic Effects of Ag- and Au-Loaded TiO2 Nanorods on Boar Spermatozoa,https://doi.org/10.1186/s40543-023-00313-7,"['Young-Joo Yi', 'Love Kumar Dhandole']"
Which noble metals are mentioned as being loaded onto TiO2 nanorods to display efficient catalytic properties and antibacterial activities?,C,Toxic Effects of Ag- and Au-Loaded TiO2 Nanorods on Boar Spermatozoa,https://doi.org/10.1186/s40543-023-00313-7,"['Young-Joo Yi', 'Love Kumar Dhandole']"
What is a potential consequence of nanoparticles interacting with biological cells?,C,Toxic Effects of Ag- and Au-Loaded TiO2 Nanorods on Boar Spermatozoa,https://doi.org/10.1186/s40543-023-00313-7,"['Young-Joo Yi', 'Love Kumar Dhandole']"
Which factors can influence the toxicity of nanoparticles to biological cells?,B,Toxic Effects of Ag- and Au-Loaded TiO2 Nanorods on Boar Spermatozoa,https://doi.org/10.1186/s40543-023-00313-7,"['Young-Joo Yi', 'Love Kumar Dhandole']"
"What can be significantly increased when spermatozoa are incubated with nanoparticles, leading to potential toxicity?",B,Toxic Effects of Ag- and Au-Loaded TiO2 Nanorods on Boar Spermatozoa,https://doi.org/10.1186/s40543-023-00313-7,"['Young-Joo Yi', 'Love Kumar Dhandole']"
What effect can noble metal nanoparticles on the surface of TiO2 have on bacterial membranes?,C,Toxic Effects of Ag- and Au-Loaded TiO2 Nanorods on Boar Spermatozoa,https://doi.org/10.1186/s40543-023-00313-7,"['Young-Joo Yi', 'Love Kumar Dhandole']"
What is a result of the interaction between noble metal nanoparticles and microbial membranes?,A,Toxic Effects of Ag- and Au-Loaded TiO2 Nanorods on Boar Spermatozoa,https://doi.org/10.1186/s40543-023-00313-7,"['Young-Joo Yi', 'Love Kumar Dhandole']"
What materials are used in the molten salt flux method for synthesizing TiO2 nanorods?,A,Toxic Effects of Ag- and Au-Loaded TiO2 Nanorods on Boar Spermatozoa,https://doi.org/10.1186/s40543-023-00313-7,"['Young-Joo Yi', 'Love Kumar Dhandole']"
What can catalyze the degradation of organic dyes in the presence of an electron donor?,A,Toxic Effects of Ag- and Au-Loaded TiO2 Nanorods on Boar Spermatozoa,https://doi.org/10.1186/s40543-023-00313-7,"['Young-Joo Yi', 'Love Kumar Dhandole']"
What role do noble metal nanoparticles on TiO2 nanorods play in the generation of reactive oxygen species (ROS)?,C,Toxic Effects of Ag- and Au-Loaded TiO2 Nanorods on Boar Spermatozoa,https://doi.org/10.1186/s40543-023-00313-7,"['Young-Joo Yi', 'Love Kumar Dhandole']"
Which pretreatment method of lignocellulose can yield clean energy via microbial fermentation?,A,Microbial Electrolysis Cell System for Bio-Oil Detoxification and Efficient Ethanol Production Using Evolved Escherichia coli,https://doi.org/10.1186/s40643-024-004-1,['Zhisheng Yu']
Which of the following compounds present in bio-oil can inhibit the growth and metabolism of microorganisms?,B,Microbial Electrolysis Cell System for Bio-Oil Detoxification and Efficient Ethanol Production Using Evolved Escherichia coli,https://doi.org/10.1186/s40643-024-004-1,['Zhisheng Yu']
What is the primary application of microbial electrolysis cell technology?,C,Microbial Electrolysis Cell System for Bio-Oil Detoxification and Efficient Ethanol Production Using Evolved Escherichia coli,https://doi.org/10.1186/s40643-024-004-1,['Zhisheng Yu']
Which compound is not typically considered an inhibitor in bio-oil media for microbial fermentation?,D,Microbial Electrolysis Cell System for Bio-Oil Detoxification and Efficient Ethanol Production Using Evolved Escherichia coli,https://doi.org/10.1186/s40643-024-004-1,['Zhisheng Yu']
What is the purpose of subjecting E. coli to adaptive evolution in the context of bio-oil fermentation?,B,Microbial Electrolysis Cell System for Bio-Oil Detoxification and Efficient Ethanol Production Using Evolved Escherichia coli,https://doi.org/10.1186/s40643-024-004-1,['Zhisheng Yu']
Which of the following is a primary component of bio-oil used for ethanol production?,B,Microbial Electrolysis Cell System for Bio-Oil Detoxification and Efficient Ethanol Production Using Evolved Escherichia coli,https://doi.org/10.1186/s40643-024-004-1,['Zhisheng Yu']
What is the theoretical yield of ethanol from levoglucosan in the context of microbial fermentation?,C,Microbial Electrolysis Cell System for Bio-Oil Detoxification and Efficient Ethanol Production Using Evolved Escherichia coli,https://doi.org/10.1186/s40643-024-004-1,['Zhisheng Yu']
What role does the microbial electrolysis cell system play in ethanol production from bio-oil?,B,Microbial Electrolysis Cell System for Bio-Oil Detoxification and Efficient Ethanol Production Using Evolved Escherichia coli,https://doi.org/10.1186/s40643-024-004-1,['Zhisheng Yu']
"Which of the following compounds is known to inhibit microbial growth and metabolism, thereby reducing the yield of bioethanol fermentation?",C,Microbial Electrolysis Cell System for Bio-Oil Detoxification and Efficient Ethanol Production Using Evolved Escherichia coli,https://doi.org/10.1186/s40643-024-004-1,['Zhisheng Yu']
What does the Coulomb efficiency in a microbial electrolysis cell indicate?,A,Microbial Electrolysis Cell System for Bio-Oil Detoxification and Efficient Ethanol Production Using Evolved Escherichia coli,https://doi.org/10.1186/s40643-024-004-1,['Zhisheng Yu']
Which cutting parameter has the highest contribution to surface roughness in ball end milling of OFHC copper?,B,Synergistic effects of cutting parameters on surface roughness in ball end milling of oxygen-free high conductivity copper,https://doi.org/10.1186/s40712-019-0099-0,['Seikh et al.']
What is the primary purpose of using response surface methodology (RSM) in the context of machining processes?,B,Synergistic effects of cutting parameters on surface roughness in ball end milling of oxygen-free high conductivity copper,https://doi.org/10.1186/s40712-019-0099-0,['Seikh et al.']
What is the role of analysis of variance (ANOVA) in the study of machining processes?,C,Synergistic effects of cutting parameters on surface roughness in ball end milling of oxygen-free high conductivity copper,https://doi.org/10.1186/s40712-019-0099-0,['Seikh et al.']
Which parameters were considered as responses for generating a statistical predictive model in terms of machining parameters?,B,Synergistic effects of cutting parameters on surface roughness in ball end milling of oxygen-free high conductivity copper,https://doi.org/10.1186/s40712-019-0099-0,['Seikh et al.']
What is the effect of increasing the cutting feed rate on the surface roughness in end milling?,C,Synergistic effects of cutting parameters on surface roughness in ball end milling of oxygen-free high conductivity copper,https://doi.org/10.1186/s40712-019-0099-0,['Seikh et al.']
What is the purpose of using a central composite design in the study of machining processes?,B,Synergistic effects of cutting parameters on surface roughness in ball end milling of oxygen-free high conductivity copper,https://doi.org/10.1186/s40712-019-0099-0,['Seikh et al.']
What is the effect of increasing the cutting speed on the surface roughness in end milling?,B,Synergistic effects of cutting parameters on surface roughness in ball end milling of oxygen-free high conductivity copper,https://doi.org/10.1186/s40712-019-0099-0,['Seikh et al.']
What is the recommended setting for the radial depth of cut to achieve a good surface finish in end milling of OFHC copper?,B,Synergistic effects of cutting parameters on surface roughness in ball end milling of oxygen-free high conductivity copper,https://doi.org/10.1186/s40712-019-0099-0,['Seikh et al.']
What is the contribution of axial depth of cut to the surface roughness in ball end milling of OFHC copper?,C,Synergistic effects of cutting parameters on surface roughness in ball end milling of oxygen-free high conductivity copper,https://doi.org/10.1186/s40712-019-0099-0,['Seikh et al.']
Which surface roughness parameter is considered as the average roughness in the context of machining?,A,Synergistic effects of cutting parameters on surface roughness in ball end milling of oxygen-free high conductivity copper,https://doi.org/10.1186/s40712-019-0099-0,['Seikh et al.']
What is the typical outcome of electrospinning a polymer solution?,A,Superhydrophobic Fibrous Mats from PHBV/SiO2 Composites,https://doi.org/10.1186/s42252-022-00029-5,"['Saad Rabbani', 'Rabbani et al.']"
What is an intrinsic property of PHBV when electrospun into fibers?,B,Superhydrophobic Fibrous Mats from PHBV/SiO2 Composites,https://doi.org/10.1186/s42252-022-00029-5,"['Saad Rabbani', 'Rabbani et al.']"
What effect does the incorporation of silica nanoparticles have on the surface of electrospun PHBV fibers?,C,Superhydrophobic Fibrous Mats from PHBV/SiO2 Composites,https://doi.org/10.1186/s42252-022-00029-5,"['Saad Rabbani', 'Rabbani et al.']"
What is the effect of treating PHBV/SiO2 fibrous mats with stearic acid at an elevated temperature?,A,Superhydrophobic Fibrous Mats from PHBV/SiO2 Composites,https://doi.org/10.1186/s42252-022-00029-5,"['Saad Rabbani', 'Rabbani et al.']"
What information can be obtained about electrospun fibers using scanning electron microscopy (SEM)?,B,Superhydrophobic Fibrous Mats from PHBV/SiO2 Composites,https://doi.org/10.1186/s42252-022-00029-5,"['Saad Rabbani', 'Rabbani et al.']"
What does energy dispersive X-ray spectroscopy (EDX) confirm in the context of electrospun fibers?,B,Superhydrophobic Fibrous Mats from PHBV/SiO2 Composites,https://doi.org/10.1186/s42252-022-00029-5,"['Saad Rabbani', 'Rabbani et al.']"
What can Fourier transform infrared spectroscopy (FTIR) reveal about electrospun fibers?,C,Superhydrophobic Fibrous Mats from PHBV/SiO2 Composites,https://doi.org/10.1186/s42252-022-00029-5,"['Saad Rabbani', 'Rabbani et al.']"
What does differential scanning calorimetry (DSC) measure in the context of PHBV fibers?,C,Superhydrophobic Fibrous Mats from PHBV/SiO2 Composites,https://doi.org/10.1186/s42252-022-00029-5,"['Saad Rabbani', 'Rabbani et al.']"
How does the incorporation of nanoparticles and plasticization affect the thermal properties of PHBV?,C,Superhydrophobic Fibrous Mats from PHBV/SiO2 Composites,https://doi.org/10.1186/s42252-022-00029-5,"['Saad Rabbani', 'Rabbani et al.']"
What static water contact angle (WCA) and roll-off angle are indicative of superhydrophobic surfaces?,A,Superhydrophobic Fibrous Mats from PHBV/SiO2 Composites,https://doi.org/10.1186/s42252-022-00029-5,"['Saad Rabbani', 'Rabbani et al.']"
What is the minimum radionuclidic purity of [177Lu]lutetium for radiolabeling according to the European Pharmacopoeia?,B,Analysis of 177Lu-radiopharmaceuticals for 177mLu-concentration,https://doi.org/10.1186/s41181‑023‑00222‑2,"['Balzer', 'Spreckelmeyer']"
What is the allowed concentration of [177mLu]lutetium impurity in [177Lu]lutetium as per the European Pharmacopoeia?,C,Analysis of 177Lu-radiopharmaceuticals for 177mLu-concentration,https://doi.org/10.1186/s41181‑023‑00222‑2,"['Balzer', 'Spreckelmeyer']"
What is the exemption limit for [177mLu]lutetium for the unrestricted release of solid and liquid substances?,A,Analysis of 177Lu-radiopharmaceuticals for 177mLu-concentration,https://doi.org/10.1186/s41181‑023‑00222‑2,"['Balzer', 'Spreckelmeyer']"
What is the physical half-life of [177Lu]lutetium?,B,Analysis of 177Lu-radiopharmaceuticals for 177mLu-concentration,https://doi.org/10.1186/s41181‑023‑00222‑2,"['Balzer', 'Spreckelmeyer']"
What is the main gamma emission energy when [177mLu]lutetium decays to [177Lu]lutetium?,C,Analysis of 177Lu-radiopharmaceuticals for 177mLu-concentration,https://doi.org/10.1186/s41181‑023‑00222‑2,"['Balzer', 'Spreckelmeyer']"
What is the target material used in the non-carrier added (n.c.a) pathway for the production of [177Lu]lutetium?,C,Analysis of 177Lu-radiopharmaceuticals for 177mLu-concentration,https://doi.org/10.1186/s41181‑023‑00222‑2,"['Balzer', 'Spreckelmeyer']"
What is the physical half-life of the metastable impurity [177mLu]lutetium?,B,Analysis of 177Lu-radiopharmaceuticals for 177mLu-concentration,https://doi.org/10.1186/s41181‑023‑00222‑2,"['Balzer', 'Spreckelmeyer']"
Which radionuclide is the first approved drug that contains [177Lu]lutetium?,C,Analysis of 177Lu-radiopharmaceuticals for 177mLu-concentration,https://doi.org/10.1186/s41181‑023‑00222‑2,"['Balzer', 'Spreckelmeyer']"
What was the average concentration of [177mLu]lutetium found in Lutathera® according to the data?,B,Analysis of 177Lu-radiopharmaceuticals for 177mLu-concentration,https://doi.org/10.1186/s41181‑023‑00222‑2,"['Balzer', 'Spreckelmeyer']"
What is the radionuclidic impurity level of [177mLu]lutetium in EndolucinBeta® samples?,A,Analysis of 177Lu-radiopharmaceuticals for 177mLu-concentration,https://doi.org/10.1186/s41181‑023‑00222‑2,"['Balzer', 'Spreckelmeyer']"
What class of natural compounds has been identified to have potential anti-TMV activities?,B,Discovery of Anti-Tobacco Mosaic Virus Compounds from Aspergillus versicolor,https://doi.org/10.1234/example,"['Qiu-Fen Hu', 'Feng-Xian Yang']"
Which of the following secondary metabolites is NOT mentioned as being produced by Aspergillus species?,C,Discovery of Anti-Tobacco Mosaic Virus Compounds from Aspergillus versicolor,https://doi.org/10.1234/example,"['Qiu-Fen Hu', 'Feng-Xian Yang']"
Which structural feature is characteristic of isocoumarins?,C,Discovery of Anti-Tobacco Mosaic Virus Compounds from Aspergillus versicolor,https://doi.org/10.1234/example,"['Qiu-Fen Hu', 'Feng-Xian Yang']"
What is the basic structure of indole alkaloids?,A,Discovery of Anti-Tobacco Mosaic Virus Compounds from Aspergillus versicolor,https://doi.org/10.1234/example,"['Qiu-Fen Hu', 'Feng-Xian Yang']"
What is the measure of a compound's ability to directly destroy viral particles?,C,Discovery of Anti-Tobacco Mosaic Virus Compounds from Aspergillus versicolor,https://doi.org/10.1234/example,"['Qiu-Fen Hu', 'Feng-Xian Yang']"
What was the purpose of molecular docking in the context of TMV research?,B,Discovery of Anti-Tobacco Mosaic Virus Compounds from Aspergillus versicolor,https://doi.org/10.1234/example,"['Qiu-Fen Hu', 'Feng-Xian Yang']"
What was the role of TEM in the study of TMV?,B,Discovery of Anti-Tobacco Mosaic Virus Compounds from Aspergillus versicolor,https://doi.org/10.1234/example,"['Qiu-Fen Hu', 'Feng-Xian Yang']"
Which spectroscopic technique is used to determine the structure of organic compounds by observing the interaction of nuclear spins with an external magnetic field?,D,Discovery of Anti-Tobacco Mosaic Virus Compounds from Aspergillus versicolor,https://doi.org/10.1234/example,"['Qiu-Fen Hu', 'Feng-Xian Yang']"
Which IR absorption band is indicative of hydroxyl (OH) groups?,C,Discovery of Anti-Tobacco Mosaic Virus Compounds from Aspergillus versicolor,https://doi.org/10.1234/example,"['Qiu-Fen Hu', 'Feng-Xian Yang']"
"In the context of TMV infection, what does a decrease in the band intensity of TMV-CP in a western blot analysis indicate?",C,Discovery of Anti-Tobacco Mosaic Virus Compounds from Aspergillus versicolor,https://doi.org/10.1234/example,"['Qiu-Fen Hu', 'Feng-Xian Yang']"
What is the half-life of the PET radioisotope zirconium-89 (89Zr)?,B,Development of a novel leukocyte labelling approach with zirconium-89 for PET imaging,https://doi.org/10.1186/s41181-023-00223-1,"['Maryke Kahts', 'Oliver Anderson', 'Hannah Green', 'Yuki Yamamoto', 'Brian Smith', 'Rachel Thompson']"
Which organ did intravenously injected free [89Zr]Zr4+ ion show retention in at 5 days post injection?,D,Development of a novel leukocyte labelling approach with zirconium-89 for PET imaging,https://doi.org/10.1186/s41181-023-00223-1,"['Maryke Kahts', 'Oliver Anderson', 'Hannah Green', 'Yuki Yamamoto', 'Brian Smith', 'Rachel Thompson']"
What is the main disadvantage of labelling leukocytes with [111In] oxine and [99mTc]Tc-HMPAO?,C,Development of a novel leukocyte labelling approach with zirconium-89 for PET imaging,https://doi.org/10.1186/s41181-023-00223-1,"['Maryke Kahts', 'Oliver Anderson', 'Hannah Green', 'Yuki Yamamoto', 'Brian Smith', 'Rachel Thompson']"
What type of bond does the isothiocyanate group of Df-Bz-NCS form with cell surface groups?,C,Development of a novel leukocyte labelling approach with zirconium-89 for PET imaging,https://doi.org/10.1186/s41181-023-00223-1,"['Maryke Kahts', 'Oliver Anderson', 'Hannah Green', 'Yuki Yamamoto', 'Brian Smith', 'Rachel Thompson']"
What is the role of desferrioxamine in the chelation of zirconium-89?,A,Development of a novel leukocyte labelling approach with zirconium-89 for PET imaging,https://doi.org/10.1186/s41181-023-00223-1,"['Maryke Kahts', 'Oliver Anderson', 'Hannah Green', 'Yuki Yamamoto', 'Brian Smith', 'Rachel Thompson']"
What was the average apparent molar activity of the [89Zr]Zr-Df-Bz-NCS complex used for leukocyte labelling?,A,Development of a novel leukocyte labelling approach with zirconium-89 for PET imaging,https://doi.org/10.1186/s41181-023-00223-1,"['Maryke Kahts', 'Oliver Anderson', 'Hannah Green', 'Yuki Yamamoto', 'Brian Smith', 'Rachel Thompson']"
What range of labelling efficiency was achieved for 89Zr-leukocyte labelling?,B,Development of a novel leukocyte labelling approach with zirconium-89 for PET imaging,https://doi.org/10.1186/s41181-023-00223-1,"['Maryke Kahts', 'Oliver Anderson', 'Hannah Green', 'Yuki Yamamoto', 'Brian Smith', 'Rachel Thompson']"
